Date,Date as Text,Domestic Currency (CNY),Shenzhen_USD,Shenzhen_EUR,Domestic Currency (CNY).1,Shanghai_USD,Shanghai_EUR,Domestic Currency (CNY).2,Beijing_USD,Beijing_EUR,Domestic Currency (CNY).3,Guangdong_USD,Guangdong_EUR,Domestic Currency (CNY).4,Tianjin_USD,Tianjin_EUR,Domestic Currency (CNY).5,Hubei_USD,Hubei_EUR,Domestic Currency (CNY).6,Chongqing_USD,Chongqing_EUR,Domestic Currency (CNY).7,Fujian_USD,Fujian_EUR
18.06.2013,Jun 2013,29.04679803,4.707151775,3.569065889,,,,,,,,,,,,,,,,,,,,,
19.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
20.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
21.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
22.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
23.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
24.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
26.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
27.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
28.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
29.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
30.06.2013,Jun 2013,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
02.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
03.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
04.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
05.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
06.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
07.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
08.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
09.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
10.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
11.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
12.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
13.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
14.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
15.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
16.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
17.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
18.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
19.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
20.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
21.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
22.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
23.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
24.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
25.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
26.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
27.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
28.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
29.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
31.07.2013,Jul 2013,,,,,,,,,,,,,,,,,,,,,,,,
