Date,Date as Text,Domestic Currency (EUR),Exchange Rate (USD),EUR_USD,Exchange Rate (EUR),EUR_EUR,Domestic Currency (USD),Exchange Rate (USD).1,CAL_USD,Exchange Rate (EUR).1,CAL_EUR,CAL_ARP,CAL CCR_tier 1,CAL CCR_tier 2,CAL CCR_tier 3,Domestic Currency (CAD),Exchange Rate (USD).2,QUE_USD,Exchange Rate (EUR).2,QUE_EUR,QUE_ARP,QUE CCR_tier 1,QUE CCR_tier 2,QUE CCR_tier 3,Domestic Currency (CAD).1,Exchange Rate (USD).3,ONT_USD,Exchange Rate (EUR).3,ONT_EUR,ONT_ARP,ONT CCR_tier 1,ONT CCR_tier 2,ONT CCR_tier 3,Domestic Currency (NZD),Exchange Rate (USD).4,NZ_USD,Exchange Rate (EUR).4,NZ_EUR,Price Ceiling,Domestic Currency (KRW),Exchange Rate (USD).6,KOR_USD,Exchange Rate (EUR).6,KOR_EUR,Domestic Currency (CHF),Exchange Rate (USD).7,SWISS_USD,Exchange Rate (EUR).7,SWISS_EUR,Domestic Currency (USD).1,Exchange Rate (USD).8,USD_USD,Exchange Rate (EUR).8,USD_EUR,ARP MT,RGGI_CCR MT,Exchange Rate (USD).19,Exchange Rate (EUR).19,Domestic Currency (CNY),Shenzhen_USD,Shenzhen_EUR,Domestic Currency (CNY).1,Shanghai_USD,Shanghai_EUR,Domestic Currency (CNY).2,Beijing_USD,Beijing_EUR,Domestic Currency (CNY).3,Guangdong_USD,Guangdong_EUR,Domestic Currency (CNY).4,Tianjin_USD,Tianjin_EUR,Domestic Currency (CNY).5,Hubei_USD,Hubei_EUR,Domestic Currency (CNY).6,Chongqing_USD,Chongqing_EUR,Domestic Currency (CNY).7,Fujian_USD,"Fujian_EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18.06.2013,Jun 13,"4,6","0,758221969","6,066825",1,"4,6",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,77","1,264575901","1,399678737","1,667817542","1,061267168",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473","29,04679803","4,707151775","3,569065889",,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19.06.2013,Jun 13,"4,33","0,758221969","5,71072875",1,"4,33",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,78","1,264575901","1,407586526","1,667817542","1,067263028",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20.06.2013,Jun 13,"4,35","0,758221969","5,73710625",1,"4,35",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,78","1,264575901","1,407586526","1,667817542","1,067263028",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21.06.2013,Jun 13,"4,34","0,758221969","5,7239175",1,"4,34",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,75","1,264575901","1,383863158","1,667817542","1,049275449",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
22.06.2013,Jun 13,,"0,758221969",,1,,,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,264575901",,"1,667817542",,,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
23.06.2013,Jun 13,,"0,758221969",,1,,,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,264575901",,"1,667817542",,,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
24.06.2013,Jun 13,"4,11","0,758221969","5,42057625",1,"4,11",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,77","1,264575901","1,399678737","1,667817542","1,061267168",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
25.06.2013,Jun 13,"4,25","0,758221969","5,60521875",1,"4,25",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,79","1,264575901","1,415494316","1,667817542","1,073258888",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
26.06.2013,Jun 13,"4,38","0,758221969","5,7766725",1,"4,38",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,83","1,264575901","1,447125474","1,667817542","1,097242327",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
27.06.2013,Jun 13,"4,4","0,758221969","5,80305",1,"4,4",,1,,"1,318875",,,,,,,"1,031465",,"1,360373402",,,,,,,"1,031465",,"1,360373402",,,,,,"1,85","1,264575901","1,462941053","1,667817542","1,109234046",25.0,,"1136,59",,"1499,020136",,,"0,932905556",,"1,230385815",,,1,,"1,318875",,,,"6,17078","8,138487473",,,,,,,,,,,,,,,,,,,,,,,,"#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
